link,clients,load,offered_total,gross_mbps,net_mbps,delay_ms,loss_pct,active_flows,min_flow,max_flow,eff,spread,rc,wall
wifi,15,160.0,2400.0,1047.066,1032.108,1137.649,40.34,15,51.636,89.802,0.43627750000000004,1.7391354868696258,0,119.11711243199534
wifi,15,200.0,3000.0,1011.091,996.647,1262.714,52.36,15,41.662,85.521,0.3370303333333333,2.0527339061974943,0,117.62482864599588
wifi,30,10.0,300.0,270.0,266.143,119.438,7.375,30,8.182,9.821,0.9,1.2003177707162063,0,167.94372336300148
wifi,30,20.0,600.0,498.908,491.78,184.003,13.298,30,13.248,18.243,0.8315133333333333,1.3770380434782608,0,180.84236725299706
wifi,30,30.0,900.0,636.205,627.116,472.115,16.624,30,14.536,26.561,0.7068944444444445,1.8272564667033573,0,193.39438852499734
wifi,30,40.0,1200.0,688.565,678.728,868.65,18.569,30,14.502,36.34,0.5738041666666667,2.505861260515791,0,200.74433071300155
wifi,30,50.0,1500.0,664.828,655.331,1133.539,19.52,28,6.352,38.351,0.44321866666666665,6.0376259445843825,0,208.63975301299797
wifi,30,60.0,1800.0,693.549,683.641,1215.695,26.209,30,12.38,37.384,0.385305,3.019709208400646,0,216.44869352700334
wifi,30,70.0,2100.0,717.358,707.11,1455.187,22.721,30,11.568,43.058,0.3415990476190476,3.72216459197787,0,229.84719726199546
wifi,30,80.0,2400.0,712.229,702.054,1551.511,30.381,30,12.193,34.444,0.29676208333333337,2.8248995325186583,0,231.54990589600493
wifi,30,100.0,3000.0,739.0,728.443,1638.269,36.438,30,14.377,41.879,0.24633333333333332,2.912916463796341,0,237.57520197900158
