Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
3.03396	HARQ FD Txed	303	3	1	2	1	0	19	2
3.03446	HARQ FD Txed	303	4	0	2	1	0	18	2
3.03504	DL DCI Rxed	303	5	0	2	1	0	19	2
3.03646	HARQ FD Txed	303	6	0	2	1	0	19	2
3.03754	DL DCI Rxed	303	7	1	2	1	0	19	2
3.03896	HARQ FD Txed	303	8	1	2	1	0	19	2
3.04004	DL DCI Rxed	304	0	0	2	1	0	19	2
3.04146	HARQ FD Txed	304	1	0	2	1	0	19	2
3.04254	DL DCI Rxed	304	2	1	2	1	0	19	2
3.04304	DL DCI Rxed	304	3	0	2	1	0	18	2
3.04396	HARQ FD Txed	304	3	1	2	1	0	19	2
3.04446	HARQ FD Txed	304	4	0	2	1	0	18	2
3.04504	DL DCI Rxed	304	5	0	2	1	0	19	2
3.04554	DL DCI Rxed	304	5	1	2	1	0	18	2
3.04646	HARQ FD Txed	304	6	0	2	1	0	19	2
3.04696	HARQ FD Txed	304	6	1	2	1	0	18	2
3.04754	DL DCI Rxed	304	7	1	2	1	0	19	2
3.04804	DL DCI Rxed	304	8	0	2	1	0	18	2
3.04896	HARQ FD Txed	304	8	1	2	1	0	19	2
3.04946	HARQ FD Txed	304	9	0	2	1	0	18	2
3.05254	DL DCI Rxed	305	2	1	2	1	0	19	2
3.05304	DL DCI Rxed	305	3	0	2	1	0	18	2
3.05396	HARQ FD Txed	305	3	1	2	1	0	19	2
3.05446	HARQ FD Txed	305	4	0	2	1	0	18	2
3.05504	DL DCI Rxed	305	5	0	2	1	0	19	2
3.05646	HARQ FD Txed	305	6	0	2	1	0	19	2
3.06804	DL DCI Rxed	306	8	0	2	1	0	19	2
3.06946	HARQ FD Txed	306	9	0	2	1	0	19	2
3.08304	DL DCI Rxed	308	3	0	2	1	0	19	2
3.08446	HARQ FD Txed	308	4	0	2	1	0	19	2
3.09504	DL DCI Rxed	309	5	0	2	1	0	19	2
3.09646	HARQ FD Txed	309	6	0	2	1	0	19	2
3.09754	DL DCI Rxed	309	7	1	2	1	0	19	2
3.09896	HARQ FD Txed	309	8	1	2	1	0	19	2
3.10504	DL DCI Rxed	310	5	0	2	1	0	19	2
3.10646	HARQ FD Txed	310	6	0	2	1	0	19	2
3.11804	DL DCI Rxed	311	8	0	2	1	0	19	2
3.11946	HARQ FD Txed	311	9	0	2	1	0	19	2
3.61754	DL DCI Rxed	361	7	1	2	1	0	19	2
3.61896	HARQ FD Txed	361	8	1	2	1	0	19	2
4.58054	DL DCI Rxed	458	0	1	2	1	0	19	2
4.58196	HARQ FD Txed	458	1	1	2	1	0	19	2
